F98F F930
F843 8
F85A 0
F851 0
F844 0
F840 0
F82A 8
F812 0
F81E 0
F842 A
F844 0
F81B 0
F805 0
F81A 0
F82C 0
F824 0
F823 0
F832 0
F831 0
F81D 0
F81F 0
F82D 0
F822 0
F80D 0
F816 8
F825 3
F811 0
F7FF 0
F825 0
F866 0
F87E 0
F85C 0
F833 0
F836 0
F85C 0
F86F 0
F85B 0
F83C 0
F828 0
F825 0
F838 0
F853 8
F84E 0
F828 0
F80F 1
F825 18
F846 4
F842 0
F829 0
F82D 2
F848 0
F84C 0
F839 0
F835 0
F843 0
F846 0
F843 0
F84D 0
F853 0
F837 0
F815 0
F81C 0
F836 0
F832 0
F81D 0
F823 0
F834 0
F82D 0
F82E 0
F869 1
F8A7 0
F88C 0
F83E 0
F832 0
F863 0
F872 1
F857 0
F843 0
F82E 0
F808 0
F7FE 0
F821 0
F839 0
F830 0
F829 0
F82F 0
F83D 0
F85B 0
F880 A
F888 22
F874 0
F864 0
F85E 9
F85F 0
F868 8
F863 8
F83E 0
F824 0
F841 5
F85E 0
F840 0
F818 0
F82A 0
F856 0
F85F 0
F857 0
F85D 0
F86A 6
F87E 0
F894 0
F891 0
F86B 2
F848 0
F84B 0
F85B 2
F851 0
F832 0
F815 0
F811 0
F828 0
F83F 0
F841 0
F83D 1
F841 0
F847 0
F856 0
F878 0
F890 0
F87E 1
F865 0
F873 0
F88D 0
F886 0
F860 0
F83B 0
F832 0
F849 0
F851 1
F819 0
F7D0 0
F7CE 4
F7FD 0
F803 4
F7F0 0
F7FE 0
F80F 0
F80F 0
F84A 0
F8BD C
F8DF 0
F8A0 0
F897 0
F8DF 0
F8F1 0
F8BA 0
F890 0
F875 0
F854 4
F854 0
F85B 0
F81C 2
F7C9 0
F7E7 8
F857 0
F87B 0
F83F 0
F81E 0
F851 0
F8A1 A
F8D2 20
F8D4 10
F8B9 0
F8AF 4
F8D1 8
F8FF 2
F8F7 40
F8A7 0
F854 0
F849 10
F86A 0
F858 2
F800 4
F7C8 0
F7F1 0
F83A 0
F851 A
F845 0
F84A 0
F86C 4
F8AA F
F8FB 0
F911 0
F8CD 0
F8A7 3
F8F0 20
F93C A
F90F 0
F8AB 1
F882 0
F889 0
F885 4
F877 8
F863 10
F837 0
F810 0
F81C 0
F855 4
F88A 1
F89E 2
F890 21
F881 22
F89B 4
F8D6 21
F8FF 0
F8FE 6
F8E3 4
F8C1 22
F8AC 0
F8AC 1
F8A6 40
F882 2
F863 2
F86E 0
F880 0
F869 1
F84B 0
F85F 1
F898 12
F8BB 2
F8B5 0
F8A1 22
F899 0
F8AA 0
F8C6 E
F8BE 0
F88A 10
F865 10
F881 0
F8AB 0
F8A4 2
F890 0
F897 12
F89E 0
F888 0
F87E 20
F89D 0
F8B0 0
F883 2
F83C 1C
F825 0
F83E 6
F84F 1
F83D 0
F82C 2
F836 0
F851 0
F874 0
F893 2
F8A1 4
F8AE 0
F8D6 28
F90E 20
F913 0
F8CF 9
F88E 2
F894 10
F8BF 48
F8BC 60
F879 0
F832 2
F820 1
F838 0
F841 0
F82B 0
F826 0
F845 0
F852 0
F842 6
F855 8
F894 0
F8BA 0
F8B8 0
F8C4 4
F8CD 30
F8A4 20
F87D 8
F894 2
F8A7 12
F873 20
F833 0
F833 0
F847 6
F838 0
F831 0
F856 0
F874 8
F86A 20
F868 20
F891 20
F8C7 2
F8D9 0
F8C8 0
F8AC 0
F8A0 0
F8AE 0
F8C1 1
F8B3 0
F883 0
F85C 0
F856 4
F86E 4
F88D 20
F89A 20
F88E 0
F885 0
F89B 0
F8B6 0
F8A8 0
F885 8
F875 8
F86C 2
F85A 0
F85A 0
F871 0
F870 22
F849 0
F842 1
F880 1
F8CB 0
F8D0 2
F88F 0
